a,b,parcel
D1Y1_27,D1Y1_29,44A
D1Y1_27,D1Y1_30,44A
D1Y1_27,D1L3_25,44A
D1Y1_29,D1Y1_30,44A
D1Y1_30,D2L2_16,44A
D1L3_25,D1Y1_30,44A
D2L2_16,D5L2_21,44A
D2L1_20,D2L1_24,44A
D2L1_21,D5L2_22,44A
D2L1_21,D2L1_24,44A
D5L2_19,D5L2_22,44A
D5L2_19,D5L2_23,44A
D5L2_20,D5L2_23,44A
D5L2_20,D5L2_24,44A
D5L2_21,D5L2_24,44A
D5L2_21,D2L2_22,44A
D5L2_22,D2L1_27,44A
D2L1_24,D5L2_22,44A
D5L2_22,D5L2_25,44A
D2L1_30,D2L1_32,44A
D2L1_32,D2L1_33,44A
D2L1_26,D2L1_27,44A
D2L1_24,D2L1_26,44A
D2L1_26,D2L1_30,44A
D2L1_24,D2L1_27,44A
D2L1_27,D5L2_28,44A
D2L1_27,D2L1_30,44A
D2L1_27,D5L2_25,44A
D2L1_30,D5L2_28,44A
D5L2_28,D2L1_33,44A
D5L2_28,D3Y1_34,44A
D5L2_25,D5L2_28,44A
D2L1_30,D2L1_33,44A
D2L1_33,D3Y1_34,44A
D5L2_22,D5L2_23,44A
D5L2_28,D5L2_29,44A
D5L2_29,D3Y1_34,44A
D3Y1_34,D3Y1_35,44A
D5L2_23,D5L2_25,44A
D5L2_25,D5L2_29,44A
D5L2_25,D5L2_26,44A
D5L2_23,D5L2_26,44A
D5L2_23,D5L2_24,44A
D5L2_26,D5L2_29,44A
D5L2_29,D3Y1_35,44A
D5L2_29,D5L2_30,44A
D5L2_24,D5L2_26,44A
D5L2_26,D5L2_30,44A
D5L2_26,D5L2_27,44A
D5L2_24,D5L2_27,44A
D5L2_24,D2L2_22,44A
D5L2_30,D3Y1_35,44A
D3Y1_35,D3Y1_36,44A
D5L2_30,D2L2_28,44A
