part,dataset,fold,h,model,metric,mean,std,n,pos,verdict,strata,observed,null_mean,null_std,excess,z,n_ge,n_perm,note
PERMNULL,REAL,,3,,RR,,,,,,progeny_parcel,4.468499836257589,3.4988944086947704,0.1881275226359438,1.2771176589820328,5.15397967281564,0,500,
PERMNULL,REAL,,3,,RR_MH,,,,,,progeny_parcel,1.646190640679915,1.1295036689642843,0.09695615956910027,1.4574460321934275,5.329078358836912,0,500,
PERMNULL,REAL,,4,,RR,,,,,,progeny_parcel,4.062670970364034,3.176403070939742,0.16727292935677343,1.2790161952469365,5.298334302103284,0,500,
PERMNULL,REAL,,4,,RR_MH,,,,,,progeny_parcel,1.6287011909578701,1.1247890202811295,0.09250476943858851,1.4480059474182927,5.4474182654038685,0,500,
PERMNULL,REAL,,1,,RR,,,,,,plot,5.166593122506741,4.5838867604472675,0.25262634955671787,1.1271205840177905,2.306593762218176,7,500,
PERMNULL,REAL,,1,,RR_MH,,,,,,plot,1.6324103402825176,1.34923304096636,0.11848190064444587,1.2098801991339745,2.39004689978724,6,500,
PERMNULL,REAL,,2,,RR,,,,,,plot,4.738191682623852,4.12650472105356,0.2194190696238131,1.148233675451635,2.7877566093913804,4,500,
PERMNULL,REAL,,2,,RR_MH,,,,,,plot,1.6345800596898348,1.3277871417445262,0.10984000709673968,1.2310557982525916,2.7930890215175066,2,500,
PERMNULL,REAL,,3,,RR,,,,,,plot,4.468499836257589,3.842924894290492,0.1998519015026879,1.1627861483570823,3.13019259393278,0,500,
PERMNULL,REAL,,3,,RR_MH,,,,,,plot,1.646190640679915,1.3223249500893135,0.10376926341757273,1.244921409498268,3.1210175337503325,1,500,
PERMNULL,REAL,,4,,RR,,,,,,plot,4.062670970364034,3.47493664400493,0.17555274786460803,1.1691352639113817,3.3479073014133856,0,500,
PERMNULL,REAL,,4,,RR_MH,,,,,,plot,1.6287011909578701,1.3071377712337915,0.09683083980230744,1.246005759148524,3.3208781456464855,0,500,
SIDPROBE,REAL,pooled,1,SID(root init)-STGNN,pairedAUCPR,-0.011497138058482487,0.007152055006559085,8,0,NEG,,,,,,,,,"rates=zeros, root convention"
SIDPROBE,REAL,pooled,1,SID(neutral init)-STGNN,pairedAUCPR,-0.00014947200903808397,0.00030511907477156266,8,2,INCONCLUSIVE,,,,,,,,,lambda0 init at base hazard 0.0166
SIDPROBE,REAL,pooled,2,SID(root init)-STGNN,pairedAUCPR,-0.02296106667917054,0.008843976825900365,8,0,NEG,,,,,,,,,"rates=zeros, root convention"
SIDPROBE,REAL,pooled,2,SID(neutral init)-STGNN,pairedAUCPR,-0.025628137028934572,0.011919137421055786,8,0,NEG,,,,,,,,,lambda0 init at base hazard 0.0166
SIDPROBE,REAL,pooled,3,SID(root init)-STGNN,pairedAUCPR,-0.03615728212275113,0.010899529178212214,8,0,NEG,,,,,,,,,"rates=zeros, root convention"
SIDPROBE,REAL,pooled,3,SID(neutral init)-STGNN,pairedAUCPR,-0.045944469933678164,0.007023855018525248,8,0,NEG,,,,,,,,,lambda0 init at base hazard 0.0166
SIDPROBE,REAL,pooled,4,SID(root init)-STGNN,pairedAUCPR,-0.04256849432473675,0.014532686144971208,8,0,NEG,,,,,,,,,"rates=zeros, root convention"
SIDPROBE,REAL,pooled,4,SID(neutral init)-STGNN,pairedAUCPR,-0.038842681941680834,0.015783861059007188,8,0,NEG,,,,,,,,,lambda0 init at base hazard 0.0166
